Title,Sponsor,Sponsor_Class,Conditions,Study_Type,Sex,Age_Category,City,Country,Results,Interventions,min_age,start_date_day,start_date_month,start_date_year,first_post_date_day,first_post_date_month,first_post_year
Observational Study of Safety and Efficacy of Levemir® in Type 2 Diabetes,Novo Nordisk A/S,INDUSTRY,Diabetes,OBSERVATIONAL,ALL,CHILD,Bangalore,India,Passed,insulin detemir,6,1,4,2008,30,5,2008
Bioequivalence Study of Fixed-dose Combinations and Coadministered Individual Tablets of Saxagliptin/Metformin-Brazil,AstraZeneca,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Campinas,Brazil,Failed,Saxagliptin/metformin fixed-dose combination (FDC),18,1,6,2011,3,6,2011
"Joint Position Sense, Plantar Sensation, Balance and Dual Task Performance in Individuals With Type 2 Diabetes",Ankara Yildirim Beyazıt University,OTHER,Type 2 Diabetes Mellitus,OBSERVATIONAL,ALL,ADULT,Ankara,Turkey,Passed,Ankle Joint Position Sensation Evaluation,30,25,3,2019,22,3,2019
How Improvement in Control of Diabetes Influences the Production of a Hormone Produced in the Gut Which Improves the Release and Action of Insulin.,The Royal Bournemouth Hospital,OTHER,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Bournemouth,United Kingdom,Passed,Glimepiride,18,1,9,2008,5,9,2008
Comparison of Pharmacodynamics and Pharmacokinetics of Biphasic Insulin Aspart 50 to Biphasic Insulin Aspart 70 in Type 2 Diabetes,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,ADULT,Århus C,Denmark,Passed,biphasic insulin aspart,30,1,9,2003,11,2,2008
"Drug-drug Interaction Study(CKD-501, Amlodipine)",Chong Kun Dang Pharmaceutical,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,MALE,ADULT,Seoul,"Korea, Republic of",Passed,CKD-501,20,1,4,2011,25,4,2011
Comparison of NN1250 With Insulin Glargine in Type 2 Diabetes,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,ADULT,Buenos Aires,Argentina,Failed,insulin degludec,18,1,11,2009,1,11,2009
Correlation Between Plasma- and Endothelial DPP-4 Activity,"University Hospital, Gentofte, Copenhagen",OTHER,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Hellerup,Denmark,Passed,sitagliptin,35,1,5,2013,17,7,2014
Insulin Receptor Substrate 1 (IRS-1) Regulation in Insulin Resistance,Mayo Clinic,OTHER,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Scottsdale,United States,Passed,Human insulin,30,1,3,2012,15,11,2010
"Dual Action of Liraglutide and Insulin Degludec in Type 2 Diabetes: A Trial Comparing the Efficacy and Safety of Insulin Degludec/Liraglutide, Insulin Degludec and Liraglutide in Subjects With Type 2 Diabetes",Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,ADULT,Birmingham,United States,Failed,insulin degludec/liraglutide,18,23,5,2011,15,4,2011
Individualized Lifestyle Intervention in Subjects With Prediabetes,University Hospital Tuebingen,OTHER,Diabetes Mellitus Type 2,INTERVENTIONAL,ALL,ADULT,Berlin,Germany,Passed,intensified lifestyle intervention,18,1,3,2012,20,9,2013
Effect of Empagliflozin on Macrovascular and Microvascular Circulation and on Endothelium Function,University of Erlangen-Nürnberg Medical School,OTHER,Diabetes Mellitus Type 2,INTERVENTIONAL,ALL,ADULT,Erlangen,Germany,Passed,Empagliflozin,18,1,12,2014,15,6,2015
A Study to Evaluate the Interaction of LX4211 and Metformin in Healthy Subjects,Lexicon Pharmaceuticals,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,San Antonio,United States,Passed,400 mg LX4211,18,1,2,2011,10,2,2011
Efficacy and Safety of BI 1356 BS (Linagliptin) in Combination With Metformin in Patients With type2 Diabetes,Boehringer Ingelheim,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Joue les Tours,France,Failed,Linagliptin,21,1,4,2006,3,4,2006
Comparison of Repaglinide and Gliclazide in Chinese Subjects With Type 2 Diabetes Never Received Oral Antidiabetic Drug Treatment,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,ADULT,Shanghai,China,Failed,repaglinide,18,1,11,2009,1,12,2009
Pharmacokinetic Study of LAF237 and Its Metabolites in Mild Renal Impaired Patients,Novartis,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Kiel,Germany,Passed,vildagliptin,18,1,10,2007,13,12,2007
Glycemic Control of Biphasic Insulin Aspart 30 in Type 2 Diabetes,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,ADULT,Bialystok,Poland,Passed,biphasic insulin aspart 30,18,22,7,2002,2,10,2012
Effect of Medically-tailored Meal Delivery Service on Changes in Hemoglobin A1c (HbA1c) in Patients With Diabetes,Mayo Clinic,OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Jacksonville,United States,Passed,Medically tailored meals,25,24,8,2020,21,8,2020
GIANT: General Practitioner Implementation in Asia of Normoglycaemic Targets,"International Diabetes Institute, Australia",OTHER,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Shatin,China,Passed,Education of general practitioners on the IDF-WPR guidelines,30,1,1,2007,11,7,2007
"Improving Diabetes Outcomes With Activity, Nutrition and Medication",Albert Einstein College of Medicine,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Bronx,United States,Passed,Tailored telephone intervention of education,40,1,7,2003,16,9,2005
Efficacy vs Placebo as Initial Combination Therapy With Pioglitazone,Boehringer Ingelheim,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Feldkirch,Austria,Failed,placebo + pioglitazone (30 mg),18,1,3,2008,21,3,2008
Efficacy and Safety of Metformin and Liraglutide in Obese Subjects With Type 2 Diabetes Previously Treated With an Oral Hypoglycemic Agent,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,ADULT,Vestavia,United States,Passed,liraglutide,18,1,2,2001,18,1,2012
Management of Diabetes in the Emergency Room: a Randomized Trial of an Insulin Protocol.,Rush University Medical Center,OTHER,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Chicago,United States,Failed,insulin aspart,18,1,5,2008,11,1,2008
Long Term Safety and Efficacy of Biphasic Insulin Aspart 30 in Type 2 Diabetes,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,ADULT,Broadmeadow,Australia,Passed,biphasic insulin aspart,18,8,1,2001,8,11,2011
Effect of Inpatient Diabetes Management on Outpatient Glycemic Control,Massachusetts General Hospital,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Boston,United States,Failed,Diabetes management team,18,1,3,2009,26,3,2009
Vildagliptin vs Sitagliptin add-on to Insulin - Impact on Glycemic Profile and Correlation of Hypoglycemic Episodes and Heart Function,Novartis Pharmaceuticals,INDUSTRY,Diabetes Mellitus Type 2,INTERVENTIONAL,ALL,ADULT,Berlin,Germany,Failed,Vildagliptin,40,1,11,2012,18,9,2012
A Study of the Effects of Canagliflozin (JNJ-28431754) on Renal Endpoints in Adult Participants With Type 2 Diabetes Mellitus,"Janssen Research & Development, LLC",INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Little Rock,United States,Failed,Placebo,30,16,1,2014,21,11,2013
Effect of Liraglutide or Exenatide Added to an Ongoing Treatment on Blood Glucose Control in Subjects With Type 2 Diabetes,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,ADULT,Birmingham,United States,Failed,liraglutide,18,1,8,2007,21,8,2007
An Intervention Program to Control Diabetes,Abbott Nutrition,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Shanghai,China,Passed,daily enteral nutritional product and/or behavioral changes,18,1,5,2005,15,10,2007
The Effect of Mobile Online Training Applied to Patients With Diabetes on Insulin Therapy,Ataturk University,OTHER,"Diabetes Mellitus, Type 1",INTERVENTIONAL,ALL,ADULT,Erzurum,Turkey,Passed,Health Belief Model-Based Mobile Online Training,18,30,12,2021,28,3,2023
Inspiratory Muscle Strength Training in Adults With Type 2 Diabetes,University of Arizona,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Tucson,United States,Passed,Inspiratory muscle strength training (IMST),18,30,6,2023,9,12,2022
Stepping Up to Health: Feedback to Promote Physical Activity in Diabetes,University of Michigan,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Ann Arbor,United States,Passed,Tailored web-based walking program,18,1,6,2005,8,9,2005
Effectiveness of a High-risk Diabetic Patients Program,Hospital Italiano de Buenos Aires,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Buenos Aires,Argentina,Passed,Case manager counseling,18,1,3,2010,18,1,2010
"A Study to Evaluate the Safety, Tolerability, Pharmacokinetic a Single Day of Dosing With GSK1614235.",GlaxoSmithKline,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Baltimore,United States,Passed,GSK2330672,18,18,5,2012,30,5,2012
Effect of Liraglutide on Pulsatile Insulin Secretion in Subjects With Type 2 Diabetes,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,ADULT,Århus C,Denmark,Passed,liraglutide,30,1,9,1999,10,1,2012
A Methodological Study To Evaluate The Effects of Single Oral Doses Of Pioglitazone 45 mg And Rosiglitazone 8 mg On Sodium Balance In Healthy Male Volunteers,Solvay Pharmaceuticals,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,MALE,ADULT,London,United Kingdom,Passed,pioglitazone/rosiglitazone/placebo,18,1,2,2010,17,3,2010
Impact of Flash Glucose Monitoring in People With Type 2 Diabetes Using Non-Insulin Antihyperglycemic Therapy,LMC Diabetes & Endocrinology Ltd.,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Brampton,Canada,Passed,FreeStyle Libre Flash Glucose Monitor,18,8,9,2020,24,9,2020
Comparing the Efficacy and Safety of Biphasic Insulin Aspart 30 and Biphasic Human Insulin 30 on Blood Sugar Control in Subjects With Type 2 Diabetes,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,ADULT,Beijing,China,Failed,biphasic insulin aspart 30,18,1,12,2008,11,12,2008
Impact of Pharmaceutical Care in Diabetics Patients,Universidade Estadual da Paraiba,OTHER,Diabetes Mellitus Type 2,INTERVENTIONAL,ALL,ADULT,João Pessoa,Brazil,Failed,Intervention: Pharmaceutical Care,30,1,9,2009,19,4,2012
"Trial to Investigate Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of Single Oral Doses of BI135585 XX Administered as Tablet and as Solution in Healthy Volunteers",Boehringer Ingelheim,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,MALE,ADULT,Biberach,Germany,Passed,Placebo to BI 135585,18,1,6,2010,22,6,2010
Korean Post-marketing Surveillance for Onglyza®,AstraZeneca,INDUSTRY,"Diabetes Mellitus, Type 2",OBSERVATIONAL,ALL,ADULT,Seoul,"Korea, Republic of",Passed,No Intervention (subjects were previously treated with Onglyza®),18,1,3,2012,11,4,2012
Bioequivalence Study of Fixed Dose Combination of 2.5 mg Saxagliptin/850 mg Metformin Tablet Relative to 2.5 mg Onglyza and 850 mg Glucophage Tablets Co-Administered,AstraZeneca,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Austin,United States,Failed,saxagliptin,18,1,2,2010,15,2,2010
Bioequivalence Study of 500 mg and 1000 mg Glucophage (Metformin) Tablets in Healthy Subjects,AstraZeneca,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Austin,United States,Failed,metformin (Diabex),18,1,2,2010,15,2,2010
Bioequivalence Study of 2.5-mg Saxagliptin and 500-mg Glucophage in Tablets and a Fixed-dose Combination Tablet in Healthy Participants,AstraZeneca,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Austin,United States,Failed,"Saxagliptin, 2.5 mg + Metformin, 500 mg (fasted state)",18,1,3,2010,15,2,2010
Self Titration With Apidra to Reach Target Study (START),Sanofi,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Laval,Canada,Passed,insulin glargine,30,1,10,2009,13,11,2009
Safety and Efficacy of Biphasic Human Insulin Compared to EX1000 in Type 2 Diabetes,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,ADULT,Vijayawada,India,Passed,EX1000,18,1,6,2008,17,6,2008
A 3-fold Crossover Bioequivalence Study Between Glucobay ODT (Orally Disintegrating Tablet) 100 mg and Glucobay Standard Tablet 100 mg,Bayer,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,MALE,ADULT,Mönchengladbach,Germany,Passed,"Acarbose (Glucobay ODT, BAYG5421)",18,1,3,2012,15,3,2012
Effects of Acute Exercise on Acetylcarnitine Concentration in Endurance Trained and Untrained Subjects,Maastricht University Medical Center,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Maastricht,Netherlands,Passed,Cycling,18,1,4,2012,14,3,2012
"A Study to Determine the Safety, Tolerability, and Effects of GSK2374697 in Healthy Volunteers",GlaxoSmithKline,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Minneapolis,United States,Passed,GSK2376497,18,7,11,2011,6,3,2012
A Study To Evaluate The Effects Of PF-05175157 In Healthy Volunteers,Pfizer,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,South Miami,United States,Passed,PF-05175157,18,1,3,2012,23,2,2012
Impact of GBS on CVD in Type 2 Diabetes Mellitus,Duke University,OTHER,Obesity,INTERVENTIONAL,ALL,ADULT,Durham,United States,Passed,Diabetes Support and Education,18,1,11,2008,7,11,2008
A 38 Week Trial Comparing Effect and Safety of Insulin Degludec/Insulin Aspart vs. Insulin Glargine Plus Insulin Aspart in Subjects With Type 2 Diabetes Treated With Basal Insulin With or Without Oral Antidiabetic Treatment in Need of Treatment Intensification,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,ADULT,Glendale,United States,Failed,Insulin degludec/insulin aspart,18,20,9,2016,20,9,2016
A Study to Compare the Effect of Giving Dulaglutide Using an Auto-injector Versus a Manual Syringe,Eli Lilly and Company,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Daytona Beach,United States,Failed,Dulaglutide,18,1,3,2012,2,2,2012
A Study Of Three PF-05190457 Formulations In Healthy Volunteers,Pfizer,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Singapore,Singapore,Passed,PF-05190457,21,1,9,2011,1,2,2012
Safety and Efficacy of Biphasic Insulin Aspart 50 in Subjects With Type 2 Diabetes,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,ADULT,Tokyo,Japan,Passed,biphasic insulin aspart 50,20,13,12,2000,26,7,2012
Efficacy and Safety of Metformin Plus Biphasic Insulin Aspart 30 in Type 2 Diabetes,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,ADULT,Mariano Acosta s/n,Argentina,Passed,metformin,18,3,12,2003,14,1,2008
Efficacy of Multigrain Supplementation in Type II Diabetes Mellitus,Universiti Sains Malaysia,OTHER,Type2 Diabetes,INTERVENTIONAL,ALL,ADULT,Kepala Batas,Malaysia,Passed,Instant multigrain supplement,21,28,9,2020,22,10,2020
Observational Study to Evaluate the Safety and Efficacy of NovoMix® 70 in Type 2 Diabetes,Novo Nordisk A/S,INDUSTRY,Diabetes,OBSERVATIONAL,ALL,ADULT,Wien,Austria,Passed,biphasic insulin aspart,18,1,5,2008,24,6,2008
The Effects of Exenatide on Oral Contraceptive Pharmacokinetics in Healthy Females,AstraZeneca,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,FEMALE,ADULT,Plymouth,United Kingdom,Passed,ethinyl estradiol and levonorgestrel; exenatide,18,1,11,2005,17,11,2005
"European, Open-label, Prospective, Multinational, Multicenter Study in Adult Subjects With Type 1 or Type 2 Diabetes Previously on MDI or CSII Therapy. Subjects Home Setting is Considered Routine Practice.",Hoffmann-La Roche,INDUSTRY,"Type 2 Diabetes, Type 1 Diabetes",INTERVENTIONAL,ALL,ADULT,Graz,Austria,Passed,Accu-Chek® Insight Insulin Pump,18,1,10,2013,7,4,2014
The Effect of Combination of Mosapride and DPP-4 Inhibitor on Plasma Concentration of Incretin Hormones,Seoul National University Hospital,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Seoul,"Korea, Republic of",Passed,Mosapride citrate,20,1,7,2014,2,7,2014
May Metformin be Used in Renal Failure?,"Centre Hospitalier Universitaire, Amiens",OTHER,Renal Disorder Associated With Type II Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Amiens,France,Passed,Metformin,18,1,6,2012,16,3,2016
A First-in-Human Study of LY3009385 in Healthy Participants,Eli Lilly and Company,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Singapore,Singapore,Failed,LY3009385,21,1,11,2011,22,11,2011
Basal Bolus of Insulin Aspart Including Insulin NPH and Biphasic Insulin Aspart in Type 2 Diabetes,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,ADULT,Zagreb,Croatia,Passed,biphasic insulin aspart,18,1,1,2004,25,1,2008
A Study on the Effects of LY2409021 on the Electrical Impulses of the Heart,Eli Lilly and Company,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Dallas,United States,Failed,LY2409021,18,1,10,2011,26,10,2011
A Study of the Effect of Dulaglutide on How the Body Handles Oral Contraceptive in Healthy Female Participants,Eli Lilly and Company,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,FEMALE,ADULT,Dallas,United States,Failed,Ortho-Cyclen,18,1,10,2011,24,10,2011
The Effects of Soy Isoflavones to Improve the Metabolism of Glucose and Lipids,Sun Yat-sen University,OTHER,Type 2 Diabetes Mellitus,INTERVENTIONAL,FEMALE,ADULT,Guangzhou,China,Failed,Placebo,30,1,8,2009,4,8,2009
A Study to Evaluate the Efficacy and Safety of BRL 49653C in Non-insulin Dependent Diabetes,National Taiwan University Hospital,OTHER,Diabetes Mellitus Non Insulin Dependent Oral Agent Therapy,INTERVENTIONAL,ALL,ADULT,Taipei,Taiwan,Passed,BRL 49653C,30,1,10,1998,15,10,2012
Pharmacokinetics and Pharmacodynamics Study of Saxagliptin in Healthy Subjects,AstraZeneca,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Austin,United States,Passed,Saxagliptin,18,1,7,2009,9,7,2009
A Study of the Effect of Dulaglutide on How Body Handles Digoxin in Healthy Participants,Eli Lilly and Company,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Daytona Beach,United States,Failed,Digoxin,18,1,9,2011,19,9,2011
Study to Evaluate the Potential Pharmacokinetic Interaction and Pharmacodynamic Effects on Renal Parameters of Bumetanide (1mg) and Dapagliflozin (10 mg) When Co-administered in Healthy Subjects,AstraZeneca,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Austin,United States,Passed,Bumetanide,18,1,7,2009,2,7,2009
A Study To Evaluate PF-05175157 In Healthy Volunteers,Pfizer,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Baton Rouge,United States,Passed,PF-05175157,18,1,7,2011,13,9,2011
A Study of the Effect of Dulaglutide on the Action of Warfarin in Healthy Participants,Eli Lilly and Company,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Dallas,United States,Failed,dulaglutide,18,1,9,2011,13,9,2011
Comparative Study of HOE490 O (Glimepiride and Metformin) Compared With Placebo on Top of Glimepiride,Sanofi,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Tokyo,Japan,Passed,Metformin,20,1,5,2009,19,6,2009
Effect of Biphasic Insulin Aspart 30 Combined With Metformin on Blood Glucose Control in Subjects With Type 2 Diabetes Inadequately Controlled With Basal Insulin,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,ADULT,Beijing,China,Failed,biphasic insulin aspart 30,18,1,11,2007,1,5,2008
First Time in Human Study Using GSK2330672,GlaxoSmithKline,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Minneapolis,United States,Passed,placebo,18,15,6,2011,15,8,2011
Internet Diabetes Self-Management Workshop,Stanford University,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Stanford,United States,Passed,Internet Diabetes Self-Management Program,18,1,2,2006,16,9,2005
Study of the Absolute Oral Bioavailability of Dapagliflozin in Healthy Subjects,AstraZeneca,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,MALE,ADULT,Madison,United States,Passed,Dapagliflozin,18,1,7,2009,25,5,2009
Study of the Effect of Dapagliflozin on the Pharmacokinetics of Warfarin or Digoxin in Healthy Subjects,AstraZeneca,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Lenexa,United States,Passed,Dapagliflozin,18,1,6,2009,19,5,2009
Bioequivalence Study of Saxagliptin and Glucophage Combination Formulations in Healthy Subjects (A),AstraZeneca,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Lincoln,United States,Failed,"Co-administration of Saxagliptin and Metformin IR, Fasted",19,1,6,2009,12,5,2009
Bioequivalence Study of Saxagliptin and Glucophage Combination Formulations in Healthy Subjects (B),AstraZeneca,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Lincoln,United States,Failed,Saxagliptin,19,1,6,2009,12,5,2009
Comparison of Pharmacodynamics and Pharmacokinetics of Biphasic Insulin Aspart 30 and Insulin Glargine and Insulin Glulisine Therapy in Subjects With Type 2 Diabetes,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,ADULT,Neuss,Germany,Passed,biphasic insulin aspart 30,18,1,8,2007,19,1,2009
A 3-fold Crossover Bioequivalence Study Between Glucobay Orally Disintegrating Tablet (ODT) and Glucobay Standard Tablet,Bayer,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,MALE,ADULT,Mönchengladbach,Germany,Passed,"Acarbose (Glucobay ODT, BAYG5421)",18,1,6,2011,6,7,2011
Determining the Effect on Patients of Internet-Based Diabetes Disease Management,Robert Wood Johnson Foundation,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Seattle,United States,Passed,Internet co-management module,18,1,9,2003,22,9,2005
To Evaluate the Response to Glucagon During Hypoglycemia,AstraZeneca,INDUSTRY,Type 2 Diabetes,INTERVENTIONAL,ALL,ADULT,Chula Vista,United States,Passed,AZD1656,18,1,2,2009,6,1,2009
Comparison of the Bioavailability of Metformin Between Medium Dose Linagliptin/Metformin Tablets and Medium Dose Glucophage Tablet Given With Linagliptin Tablet,Boehringer Ingelheim,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Toronto,Canada,Failed,Metformin Single Tablet,18,1,6,2011,28,6,2011
Effects of ROSIglitazone on Inflammatory Markers and Adipokines in Diabetic Patients Using an Angiotensin Receptor Blocker (TELmisartan) - The ROSITEL Study,Dr. Milan Gupta,OTHER,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Brampton,Canada,Passed,rosiglitazone,40,1,4,2006,14,6,2007
A Study Of PF-03882845 Absorption In Healthy Volunteers Given Orally As Tablet Versus Suspension Formulations And Effect Of Food On Its Absorption,Pfizer,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Bruxelles,Belgium,Passed,PF-03882845,18,1,1,2011,6,6,2011
Exogenous Glucose Oxidation Breath Test,"National University of Ireland, Galway, Ireland",OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,MALE,ADULT,Galway,Ireland,Passed,Oral glucose breath test,35,1,4,2012,3,5,2013
Pharmacokinetic Drug Interaction Study of Dapagliflozin and Glimepiride or Sitagliptin in Healthy Subjects,AstraZeneca,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Austin,United States,Passed,Dapagliflozin,18,1,3,2009,12,2,2009
Pharmacokinetic Drug Interaction Study of Dapagliflozin and Valsartan or Simvastatin in Healthy Subjects,AstraZeneca,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Neptune,United States,Passed,simvastatin,18,1,2,2009,9,2,2009
Comparison of the Blood Sugar Lowering Effect and Safety of Two Insulin Treatments in Type 2 Diabetes,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,ADULT,Fresno,United States,Failed,insulin detemir,18,1,10,2007,1,10,2007
A Study in Healthy Male Volunteers to Investigate Different Doses of a New Drug for the Treatment of Metabolic Diseases,"Sirtris, a GSK Company",INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,MALE,ADULT,Harrow,United Kingdom,Passed,SRT3025,18,3,6,2011,25,4,2011
Efficacy and Safety of Biphasic Insulin Aspart 30 With Metformin in Type 2 Diabetes,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,ADULT,Bloemfontein,South Africa,Passed,biphasic insulin aspart,18,1,5,2004,27,2,2008
Comparison of SAR341402 to NovoLog/NovoRapid in Adult Patients With Diabetes Mellitus Also Using Insulin Glargine,Sanofi,INDUSTRY,Type 1 Diabetes Mellitus-Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Little Rock,United States,Failed,Insulin aspart,18,2,8,2017,7,7,2017
Post Prandial Glucose Control Proof-of-Principle,Abbott Nutrition,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,ADULT,Cincinnati,United States,Passed,Carbohydrate placebo,21,1,8,2010,30,3,2011
Testosterone Therapy of Men With Type 2 Diabetes Mellitus (T2DM),Marianne Andersen,OTHER,Type 2 Diabetes Mellitus,INTERVENTIONAL,MALE,ADULT,Odense,Denmark,Passed,Testosterone,50,1,3,2012,22,3,2012
Evaluation of the Glycaemic Control With Insulin Detemir as an add-on to Current Oral Anti-diabetic Drug Treatment in Subjects With Type 2 Diabetes in Korea,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,ADULT,Seoul,"Korea, Republic of",Failed,insulin detemir,18,1,11,2007,4,4,2007
Self-management and Quality of Life in Individuals With Type 2 Diabetes Mellitus,Afyonkarahisar Health Sciences University,OTHER,Pre-Existing Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,ADULT,Afyonkarahisar,Turkey,Passed,Education,18,19,8,2021,9,8,2023
Comparison of the Change in Fat Distribution in Overweight and Obese Subjects With Type 2 Diabetes After Insulin Treatment,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,ADULT,Málaga,Spain,Failed,insulin detemir,18,1,4,2009,21,11,2008
