protocolSection_identificationModule_nctId,protocolSection_identificationModule_briefTitle,protocolSection_statusModule_overallStatus,protocolSection_statusModule_startDateStruct_date,protocolSection_statusModule_studyFirstPostDateStruct_date,protocolSection_sponsorCollaboratorsModule_leadSponsor_name,protocolSection_sponsorCollaboratorsModule_leadSponsor_class,protocolSection_conditionsModule_conditions_0,protocolSection_designModule_studyType,protocolSection_eligibilityModule_sex,protocolSection_eligibilityModule_minimumAge,protocolSection_eligibilityModule_stdAges_0,protocolSection_contactsLocationsModule_locations_0_city,protocolSection_contactsLocationsModule_locations_0_country,hasResults,protocolSection_armsInterventionsModule_interventions_0_name
NCT00486291,Study of VI-0521 Compared to Placebo in the Glycemic Management of Obese Diabetics,COMPLETED,2007-06,2007-06-14,VIVUS LLC,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Birmingham,United States,True,VI-0521
NCT01987258,The Acute Effect of Interval-walking,COMPLETED,2013-06,2013-11-19,"Rigshospitalet, Denmark",OTHER,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,30 Years,ADULT,Copenhagen,Denmark,False,Interval Walking
NCT02255266,Long-Term Effectiveness of Liraglutide for Treatment of Type 2 Diabetes in Daily Practice,COMPLETED,2015-03-26,2014-10-02,Novo Nordisk A/S,INDUSTRY,Diabetes,OBSERVATIONAL,ALL,,CHILD,Rome,Italy,False,liraglutide
NCT00333151,Effect of Liraglutide on Blood Glucose Control in Subjects With Type 2 Diabetes,COMPLETED,2006-05,2006-06-02,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,18 Years,ADULT,Goodyear,United States,False,liraglutide
NCT01972893,"A Clinical Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of ZYD1, Following Subcutaneous Administration in Healthy Volunteers",COMPLETED,2011-02,2013-10-31,Zydus Lifesciences Limited,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Ahmedabad,India,False,ZYD1
NCT01767688,A Pharmacokinetic Study of MK-3102 in Participants With Impaired Hepatic Function (MK-3102-031),COMPLETED,2013-01-16,2013-01-14,Merck Sharp & Dohme LLC,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,18 Years,ADULT,,,True,MK-3102
NCT01620489,Efficacy and Safety of Liraglutide Versus Placebo as add-on to Existing Diabetes Medication in Subjects With Type 2 Diabetes and Moderate Renal Impairment,COMPLETED,2012-06-14,2012-06-15,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,18 Years,ADULT,Concord,United States,True,liraglutide
NCT01324505,Effect of Oral Contraceptives After Administration of Semaglutide in Subjects With Type 2 Diabetes,COMPLETED,2011-03,2011-03-29,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,FEMALE,18 Years,ADULT,Neuss,Germany,False,semaglutide
NCT01736124,Computerized Cognitive Training for Diabetic Elderly Veterans,COMPLETED,2015-04-07,2012-11-29,VA Office of Research and Development,FED,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,55 Years,ADULT,Bronx,United States,True,computerized cognitive training
NCT00821795,Veterans Inpatient Insulin Study and Transition to Outpatient Therapy,COMPLETED,2009-03-11,2009-01-13,"Dennis G. Karounos, M.D.",FED,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,40 Years,ADULT,Lexington,United States,True,NPH/Regular 70/30 mix
NCT01850615,"Efficacy and Safety of FIAsp in a Basal-bolus Regimen Versus Basal Insulin Therapy, Both in Combination With Metformin in Adult Subjects With Type 2 Diabetes",COMPLETED,2013-09-23,2013-05-09,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,18 Years,ADULT,Birmingham,United States,True,Faster-acting insulin aspart
NCT02207374,A Trial Comparing the Safety and Efficacy of Semaglutide Once Weekly in Monotherapy or in Combination With One OAD in Japanese Subjects With Type 2 Diabetes,COMPLETED,2014-08-04,2014-08-04,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,20 Years,ADULT,"Akita-shi, Akita",Japan,True,semaglutide
NCT00592527,Safety and Efficacy of Insulin Detemir in Combination With OADs in Type 2 Diabetes,COMPLETED,2004-04,2008-01-14,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,18 Years,ADULT,Kochi,India,False,insulin detemir
NCT01941199,Pharmacokinetic/Pharmacodynamic Drug-drug Interaction of DA-1229 and Metformin After Oral Administration in Healthy Male Subjects,COMPLETED,2013-07,2013-09-13,"Dong-A Pharmaceutical Co., Ltd.",INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,MALE,20 Years,ADULT,Seoul,"Korea, Republic of",False,DA-1229
NCT00979628,Basal Bolus Versus Basal Insulin in Type 2 Diabetes Mellitus (T2DM),COMPLETED,2010-01,2009-09-18,"Guillermo Umpierrez, MD",OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,18 Years,ADULT,Atlanta,United States,True,sliding scale regular insulin (SSRI)
NCT02445508,Effect of Bile Acid Secretion and Sequestration on GLP-1 Secretion,COMPLETED,2015-05,2015-05-15,"University Hospital, Gentofte, Copenhagen",OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,40 Years,ADULT,Hellerup,Denmark,False,Sevelamer
NCT01885208,Efficacy and Safety of Semaglutide Once-weekly Versus Exenatide ER 2.0 mg Once-weekly as add-on to 1-2 Oral Antidiabetic Drugs (OADs) in Subjects With Type 2 Diabetes,COMPLETED,2013-12-02,2013-06-24,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,18 Years,ADULT,Anniston,United States,True,semaglutide
NCT01308008,Home Exercise to Enhance Mobility for Older Diabetics,COMPLETED,2011-11,2011-03-03,VA Office of Research and Development,FED,Diabetes Mellitus Type 2,INTERVENTIONAL,ALL,60 Years,ADULT,Ann Arbor,United States,True,home exercise/physical activity (PA) enhancement program with behavioral support
NCT01130558,Efficacy of Structured Insulin Order,COMPLETED,2009-03,2010-05-26,Massachusetts General Hospital,OTHER,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Boston,United States,False,Diabetes Management
NCT02420392,Effects of Dapagliflozin on the Incretin Sensitivity of the Pancreatic Beta Cell,COMPLETED,2015-02,2015-04-17,Seoul National University Hospital,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,18 Years,ADULT,Seoul,"Korea, Republic of",False,Dapagliflozin
NCT01536652,Prandial Orientated Biphasic Insulin Aspart 30 Therapy - the Physiological Premix Insulin Therapy for Type 2 Diabetes,COMPLETED,2006-01,2012-02-22,Novo Nordisk A/S,INDUSTRY,Diabetes,OBSERVATIONAL,ALL,,CHILD,Mainz,Germany,False,biphasic insulin aspart 30
NCT01511185,Effect of Liraglutide on the Beta-cell Responsiveness in Subjects With Type 2 Diabetes Compared to a Healthy Control Group,COMPLETED,2001-02,2012-01-18,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,18 Years,ADULT,Ann Arbor,United States,False,liraglutide
NCT02670928,Interventional Study of Active Weight Management in Patients With Type 2 Diabetes and Obesity in Routine Clinical Practice During 12 Months.,COMPLETED,2015-07-20,2016-02-02,Novartis Pharmaceuticals,INDUSTRY,Type 2 Diabetes Mellitus (T2DM),INTERVENTIONAL,ALL,18 Years,ADULT,Kazan,Russian Federation,True,Lifestyle intervention
NCT01713530,A 26-week Trial Comparing Efficacy and Safety of Insulin Degludec/Insulin Aspart BID and Insulin Degludec OD Plus Insulin Aspart in Subjects With Type 2 Diabetes Mellitus Treated With Basal Insulin in Need of Treatment Intensification With Mealtime Insulin,COMPLETED,2013-02-21,2012-10-24,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,18 Years,ADULT,Greenbrae,United States,True,insulin degludec/insulin aspart
NCT00395746,Effect of Liraglutide in Combination With Sulfonylurea (SU) on Blood Glucose Control in Subjects With Type 2 Diabetes,COMPLETED,2006-10,2006-11-03,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,20 Years,ADULT,Tokyo,Japan,True,sulfonylurea
NCT00569907,Observational Study of Interstitial Glucose Monitoring With Continuous Glucose Monitoring to Track Patients Treated With Exenatide,COMPLETED,2007-01,2007-12-10,HealthPartners Institute,OTHER,Diabetes Mellitus Type 2,OBSERVATIONAL,ALL,21 Years,ADULT,Minneapolis,United States,False,
NCT02097277,A Study to Evaluate BMS-986036 in Obese Adults With Type-2 Diabetes,COMPLETED,2014-04-15,2014-03-27,Bristol-Myers Squibb,INDUSTRY,Diabetes Mellitus Type 2,INTERVENTIONAL,ALL,,CHILD,Little Rock,United States,True,BMS-986036
NCT00910923,"A Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of JNJ-38431055 in Healthy Male Volunteers",COMPLETED,2008-11,2009-06-01,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,MALE,18 Years,ADULT,,,False,JNJ-38431055
NCT00979368,Safety Study of BMS-816336 in Healthy Male Subjects,COMPLETED,2009-11,2009-09-18,Bristol-Myers Squibb,INDUSTRY,"Diabetes Mellitus, Non-Insulin-Dependent",INTERVENTIONAL,MALE,18 Years,ADULT,Melbourne,Australia,False,BMS-816336
NCT00780715,Response To Oral Agents in Diabetes (ROAD)- Pilot Study,COMPLETED,2008-12,2008-10-28,University of Dundee,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,36 Years,ADULT,Dundee,United Kingdom,True,Gliclazide MR
NCT01580098,Medium-term Health Coaching and Life-long Monitoring in Diabetes Mellitus,COMPLETED,2010-02,2012-04-18,Landeskrankenanstalten-Betriebsgesellschaft,INDUSTRY,Diabetes Mellitus Type 2,INTERVENTIONAL,ALL,,CHILD,Klagenfurt,Austria,True,Self-monitoring for patients with Diabetes mellitus type 2
NCT00403091,Internet Intervention to Improve Rural Diabetes Care,COMPLETED,2005-04,2006-11-23,University of Alabama at Birmingham,OTHER,Diabetes Mellitus Type 2,INTERVENTIONAL,ALL,,CHILD,Birmingham,United States,False,Internet Intervention
NCT01388361,Comparison of the Efficacy and Safety of Two Intensification Strategies in Subjects With Type 2 Diabetes Inadequately Controlled on Basal Insulin and Metformin,COMPLETED,2011-09,2011-07-06,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,18 Years,ADULT,Concord,United States,True,insulin degludec
NCT00533494,The Effect of Patients' Participation in Improving Diabetes Care,COMPLETED,2000-01,2007-09-21,Soroka University Medical Center,OTHER,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,30 Years,ADULT,"Beersheva, Afula, Migdal Haemek",Israel,False,physician feedback (A)
NCT04721158,CGM Use in Children With Type 2 Diabetes,COMPLETED,2021-01-17,2021-01-22,Johns Hopkins University,OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,5 Years,CHILD,Baltimore,United States,True,Continuous glucose monitor
NCT00354939,Insulin Analogue With Continuous Glucose Monitoring System (CGMS) Measurement,COMPLETED,2003-10,2006-07-20,Sanofi,INDUSTRY,Diabetes Mellitus Type 2,INTERVENTIONAL,ALL,18 Years,ADULT,,,False,Insulin glargine
NCT00700817,"The Effect of Liraglutide Compared to Sitagliptin, Both in Combination With Metformin on Glycaemic Control in Subjects With Type 2 Diabetes Mellitus",COMPLETED,2008-06,2008-06-19,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,18 Years,ADULT,Birmingham,United States,True,liraglutide
NCT01843881,The Contribution of Incretin Hormones to Post-prandial Glucose Metabolism After Roux-en-Y Gastric Bypass,COMPLETED,2012-03,2013-05-01,Adrian Vella,OTHER,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,20 Years,ADULT,Rochester,United States,False,"Exendin 9, 39"
NCT01843855,The Contribution of Incretin Hormones to the Amelioration of Glucose Metabolism After Roux-en-Y Gastric Bypass,COMPLETED,2011-06,2013-05-01,Adrian Vella,OTHER,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,20 Years,ADULT,Rochester,United States,False,"Exendin 9,39"
NCT00288132,The Diabetes TeleCare Study,COMPLETED,2005-09,2006-02-07,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),NIH,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,21 Years,ADULT,Bennettsville,United States,False,Intervention
NCT00850824,Community Health Workers in Diabetes Care in American Samoa,COMPLETED,2007-10,2009-02-25,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),NIH,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,21 Years,ADULT,Pago Pago,American Samoa,False,Community Health Worker home visits
NCT02342834,Effects of a Small Protein and Lipid Preload on Glucose Tolerance in Subjects With Impaired Glucose Homeostasis,COMPLETED,2015-01,2015-01-21,"Azienda Ospedaliero, Universitaria Pisana",OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,18 Years,ADULT,Pisa,Italy,False,Small mixed protein and lipid meal
NCT01650324,A Single-dose Phase 1 Study of DBPR108 in Healthy Male Subjects,COMPLETED,2012-07,2012-07-26,"National Health Research Institutes, Taiwan",OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,MALE,20 Years,ADULT,Taipei,Taiwan,True,DBPR108
NCT01832935,Cost Effectiveness of Glargine Insulin Versus NPH Insulin,COMPLETED,2011-07,2013-04-16,Tehran University of Medical Sciences,OTHER,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Tehran,"Iran, Islamic Republic of",False,insulin glargine
NCT00658099,Observational Study of Type 2 Diabetes Patients Failing on Oral Anti-diabetic Agents Initiated on Levemir® or Insulatard®,COMPLETED,2007-11,2008-04-14,Novo Nordisk A/S,INDUSTRY,Diabetes,OBSERVATIONAL,ALL,,CHILD,Bucharest,Romania,False,insulin detemir
NCT01820871,Self-Management Using Smartphone Application for Type2 DM in Real siTuation (SMART-DM),COMPLETED,2012-11,2013-03-29,Inje University,OTHER,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,21 Years,ADULT,Busan,"Korea, Republic of",False,Self-Management Using Smartphone Application for Type2 DM
NCT01141192,The Effect of Vitamin D Supplementation on Glucose Metabolism in Non-Diabetic African American Adults,COMPLETED,2010-01,2010-06-10,Augusta University,OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,19 Years,ADULT,Augusta,United States,False,"vitamin D3, cholecalciferol"
NCT00924430,Interaction Study SLV337/Simvastatin,COMPLETED,2009-06,2009-06-19,Solvay Pharmaceuticals,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,MALE,18 Years,ADULT,London,United Kingdom,False,Simvastatin- SLV337 SD beta- SLV337 SD alpha - SLV337 MD beta- SLV337 SD beta+ Simvastatin
NCT02046395,Effect of Renin-angiotensin-system Blockade on Urinary Free Light Chains in Patients With Type 2 Diabetes Mellitus,COMPLETED,2012-01,2014-01-27,Tulane University School of Medicine,OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,18 Years,ADULT,New Orleans,United States,True,"amlodipine, hydralazine, terazosin or hydrochlorothiazide"
NCT02128932,Efficacy and Safety of Semaglutide Once Weekly Versus Insulin Glargine Once Daily as add-on to Metformin With or Without Sulphonylurea in Insulin-naïve Subjects With Type 2 Diabetes,COMPLETED,2014-08-04,2014-05-01,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,18 Years,ADULT,Birmingham,United States,True,semaglutide
NCT00300911,Effects of Rosiglitazone on Plasma BNP Levels and Left Ventricular Dysfunction,COMPLETED,2005-12,2006-03-10,Baskent University,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,45 Years,ADULT,Ankara,Turkey,False,"Rosiglitazone(drug), cardiac adverse effects"
NCT02257190,The Features Behind the Beneficial Effects of Interval-walking,COMPLETED,2014-10,2014-10-06,"Rigshospitalet, Denmark",OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,30 Years,ADULT,Copenhagen,Denmark,False,Control
NCT00627445,Effect of Biphasic Insulin Aspart 50 on Blood Glucose Control in Subjects With Type 2 Diabetes,COMPLETED,2008-02,2008-03-03,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,18 Years,ADULT,Beijing,China,True,biphasic insulin aspart 30
NCT01493934,Development of a Fast Measurement Technique of Insulin Resistance in Human,COMPLETED,2010-04,2011-12-16,"Institut National de la Santé Et de la Recherche Médicale, France",OTHER_GOV,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,35 Years,ADULT,Grenoble,France,False,injection of 6-DIG
NCT01193296,Glycemic Holter Study (Continuous Glucose Monitoring) -,COMPLETED,2010-06,2010-09-01,Novartis,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Bondy,France,False,Vildagliptin
NCT02227212,Ease of Use and Safety of the New U300 Pen Injector in Insulin-Naïve Patients With T2DM,COMPLETED,2014-08,2014-08-28,Sanofi,INDUSTRY,Diabetes Mellitus Type 2,INTERVENTIONAL,ALL,18 Years,ADULT,Augsburg,Germany,False,Insulin glargine U300 (new formulation of insulin glargine) HOE901
NCT00715780,Observational Study to Evaluate Safety and Efficacy of Insulin Therapy in Type 2 Diabetes Mellitus Subjects Failing on Oral Anti-diabetic Agents,COMPLETED,2008-06,2008-07-15,Novo Nordisk A/S,INDUSTRY,Diabetes,OBSERVATIONAL,ALL,18 Years,ADULT,Jakarta,Indonesia,False,soluble human insulin
NCT02769728,EndoBarrier in Obese Subjects With Type 2 Diabetes Mellitus,COMPLETED,2016-02,2016-05-12,Medical University of Graz,OTHER,Type 2 Diabetes,INTERVENTIONAL,ALL,18 Years,ADULT,Graz,Austria,True,EndoBarrier
NCT01700868,Practice Based Nutrition Intervention-2,COMPLETED,2014-07,2012-10-04,Physicians Committee for Responsible Medicine,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,18 Years,ADULT,Washington,United States,False,Vegan diet
NCT00174642,Opposing Step-by-step Insulin Reinforcement to Intensified Strategy,COMPLETED,2004-12,2005-09-15,Sanofi,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,18 Years,ADULT,Brussels,Belgium,False,Insulin Glargine
NCT01180712,Study of Oral Anthocyanins on Insulin Resistance,COMPLETED,2010-06,2010-08-12,University of Aberdeen,OTHER,Type 2 Diabetes,INTERVENTIONAL,MALE,40 Years,ADULT,Aberdeen,United Kingdom,False,Mirtoselect
NCT01835730,"Phase 1 Multicenter, Single Ascending Dose Study to Assess the Safety, Tolerability, Pharmacokinetic and Pharmacodynamic Response of PE0139 Injection in Adult Subjects With Type 2 Diabetes Mellitus",COMPLETED,2013-04,2013-04-19,PhaseBio Pharmaceuticals Inc.,INDUSTRY,Type 2 Diabetes Mellitus (T2DM),INTERVENTIONAL,ALL,18 Years,ADULT,Anniston,United States,False,PE0139 Injection
NCT02197078,Active Surveillance Research Program for the Assessment of the Safety and the Effectiveness of Linagliptin,COMPLETED,2014-07-30,2014-07-22,Boehringer Ingelheim,INDUSTRY,"Diabetes Mellitus, Type 2",OBSERVATIONAL,ALL,18 Years,ADULT,Boston,United States,True,
NCT01698931,Efficacy of Repaglinide in Subjects With Type 2 Diabetes,COMPLETED,2002-04-26,2012-10-03,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,40 Years,ADULT,Padova,Italy,False,repaglinide
NCT02486237,Complications in Central American Diabetic Patients: Historic Cohort,COMPLETED,2015-09,2015-07-01,Clínica Los Yoses,OTHER,"Diabetes Mellitus, Type 2",OBSERVATIONAL,ALL,18 Years,ADULT,San Pedro de Montes de Oca,Costa Rica,False,"None, observational study"
NCT01830569,Impact of an Evidence-based Electronic Decision Support System on Diabetes Care,COMPLETED,2017-03-29,2013-04-12,KU Leuven,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,18 Years,ADULT,Leuven,Belgium,False,The EBMeDS system
NCT00660374,Safety and Efficacy of Insulin NPH Compared to a New Insulin Formulation in Subjects With Type 2 Diabetes,COMPLETED,2008-02,2008-04-17,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,18 Years,ADULT,Salvador,Brazil,False,insulin NPH
NCT01662999,Drug Interaction Study of Saxagliptin in Combination With Dapagliflozin in Healthy Participants,COMPLETED,2012-08,2012-08-13,AstraZeneca,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Omaha,United States,True,Saxagliptin
NCT00614055,"Comparison of Two NN5401 Formulations Versus Insulin Glargine, All in Combination With Metformin in Subjects With Type 2 Diabetes",COMPLETED,2008-01,2008-02-13,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,18 Years,ADULT,Alès,France,True,insulin degludec/insulin aspart
NCT00380822,Double-Blind Study of Miglitol in Japanese With type2 Diabetes,COMPLETED,,2006-09-27,"Sanwa Kagaku Kenkyusho Co., Ltd.",INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,20 Years,ADULT,Aichi,Japan,False,miglitol
NCT00659477,"Comparison Safety and Efficacy of Basal Insulin Lantus® (Insulin Glargine) vs NPH Insulin in Combination With Oral Antidiabetic Drugs (OADs) in Patients With Diabetes Mellitus, Type 2 (DMT2)",COMPLETED,2008-03,2008-04-16,Sanofi,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,18 Years,ADULT,Praha,Czech Republic,False,insulin glargine
NCT01676116,The Efficacy of Insulin Degludec/Liraglutide in Controlling Glycaemia in Adults With Type 2 Diabetes Inadequately Controlled on GLP-1 Receptor Agonist and OAD Therapy,COMPLETED,2012-08-29,2012-08-30,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,18 Years,ADULT,Birmingham,United States,True,insulin degludec/liraglutide
NCT00812539,Diabetes Connect: Patients and Providers Use of a Secure Website for Blood Glucose Monitoring in Type-2 Diabetes,COMPLETED,2009-02,2008-12-22,Massachusetts General Hospital,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,18 Years,ADULT,Boston,United States,False,"Subject/Provider Portal ""Diabetes Connected Health"" tool - Deluxe"
NCT00964262,A Study to Evaluate Safety and Pharmacokinetics/Pharmacodynamics of Sustained Release(SR) Exenatide,COMPLETED,2009-08,2009-08-24,"Peptron, Inc.",INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,MALE,20 Years,ADULT,Seoul,"Korea, Republic of",False,SR Exenatide (PT302)
NCT00652509,Journey for Control of Diabetes Study (0431-111),COMPLETED,2008-05-01,2008-04-03,Merck Sharp & Dohme LLC,INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,,,False,Interactive Dialogue to Educate and Activate (IDEA)
NCT00347542,A Trial to Study the Effect of Vitamin D Supplementation on Glucose and Insulin Metabolism in Centrally Obese Men,COMPLETED,2006-07,2006-07-04,Sitaram Bhartia Institute of Science and Research,OTHER,"Diabetes Mellitus, Non-Insulin-Dependent",INTERVENTIONAL,MALE,35 Years,ADULT,New Delhi,India,False,Vitamin D
NCT02138097,Oral and Non-insulin Injected Hypoglycemic Therapy Utilization Patterns,COMPLETED,2014-05,2014-05-14,Boehringer Ingelheim,INDUSTRY,"Diabetes Mellitus, Type 2",OBSERVATIONAL,ALL,18 Years,ADULT,Boston,United States,True,
NCT00848757,Changing Lifestyles for Better Health,COMPLETED,2009-03,2009-02-20,Yale University,OTHER,Type 2 Diabetes Mellitus,INTERVENTIONAL,FEMALE,18 Years,ADULT,New Haven,United States,True,Intensive Lifestyle Intervention
NCT02456428,Incretin-based Drugs and the Risk of Heart Failure,COMPLETED,2014-03,2015-05-28,"Canadian Network for Observational Drug Effect Studies, CNODES",OTHER,Type 2 Diabetes Mellitus,OBSERVATIONAL,ALL,18 Years,ADULT,Montreal,Canada,False,DPP-4 inhibitors
NCT00836225,"Safety, Tolerability and Activity Study of Multiple Doses of ISIS-SGLT2Rx in Healthy Volunteers",COMPLETED,2009-01,2009-02-04,"Ionis Pharmaceuticals, Inc.",INDUSTRY,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,Leiden,Netherlands,False,ISIS 388626
NCT00949663,Xenin-25: Novel Regulator of Insulin Secretion and Beta-cell Function,COMPLETED,2009-10,2009-07-30,Washington University School of Medicine,OTHER,Type 2 Diabetes Mellitus,INTERVENTIONAL,ALL,18 Years,ADULT,St. Louis,United States,False,Placebo
NCT01045447,"Comparison of NN5401 With Insulin Glargine, Both in Combination With Oral Antidiabetic Drugs, in Subjects With Type 2 Diabetes",COMPLETED,2010-01,2010-01-11,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,18 Years,ADULT,Fresno,United States,True,insulin degludec/insulin aspart
NCT00162305,"A Phase IIA Study of BMS-512148 to Assess Safety, Exposure, and Biological Effects in Stable Type 2 Diabetic Subjects",COMPLETED,2005-04,2005-09-13,AstraZeneca,INDUSTRY,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,18 Years,ADULT,Fort Lauderdale,United States,False,BMS-512148
NCT02383238,Effect of Dapagliflozin on Microvascular and Macrovascular Circulation and Total Body Sodium Content,COMPLETED,2014-03,2015-03-09,University of Erlangen-Nürnberg Medical School,OTHER,Diabetes Mellitus Type 2,INTERVENTIONAL,ALL,18 Years,ADULT,Erlangen,Germany,False,Dapagliflozin
NCT00318422,Effect of Liraglutide on Blood Glucose Control in Subjects With Type 2 Diabetes,COMPLETED,2006-05,2006-04-26,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,18 Years,ADULT,Buenos Aires,Argentina,False,liraglutide
NCT02064335,Effects of Physical Activity Coaching on Health and Behaviour Parameters in Diabetic Persons,COMPLETED,2014-02,2014-02-17,Universitaire Ziekenhuizen KU Leuven,OTHER,"Diabetes Mellitus, Type 2",INTERVENTIONAL,ALL,,CHILD,Leuven,Belgium,False,Physical activity coaching
NCT01684813,VERifynow in DIabetes Non-responsiveness: a Study on Switching From Clopidogrel to Prasugrel,COMPLETED,2012-10,2012-09-13,Fundación Pública Andaluza para la gestión de la Investigación en Sevilla,OTHER,Diabetes Mellitus Type II,INTERVENTIONAL,ALL,18 Years,ADULT,Seville,Spain,False,Prasugrel.
NCT01278160,Comparison of Biphasic Insulin Aspart 30 Twice Daily With Two Different Initial Dosage Split Regimens in Subjects With Type 2 Diabetes: An Extension to Trial BIASP-3756,COMPLETED,2011-01,2011-01-17,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,20 Years,ADULT,Beijing,China,True,biphasic insulin aspart 30
NCT01620424,Pharmacokinetics and Pharmacodynamics of Biphasic Insulin Aspart 30 and 50 in Subjects With Type 2 Diabetes,COMPLETED,2001-02,2012-06-15,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,20 Years,ADULT,Tokyo,Japan,False,biphasic insulin aspart 30
NCT00909480,Effect of Insulin Detemir and Insulin Glargine on Blood Glucose Control in Subjects With Type 2 Diabetes,COMPLETED,2009-05,2009-05-28,Novo Nordisk A/S,INDUSTRY,Diabetes,INTERVENTIONAL,ALL,18 Years,ADULT,Litchfield Park,United States,True,insulin detemir
